# background genes,# genes,perc_overlap,category,chart color,description,FDR value,genes,network.SUID,nodes.SUID,p-value,PMID,term name,transferred FDR value,year
5,2,0.4,GO Biological Process,,Positive regulation of DNA ligation,0.0123,XRCC1|RAD51,128,769|658,0.0012,,GO:0051106,0.19100948885606,0
5,2,0.4,GO Biological Process,,Negative regulation of mitochondrial depolarization,0.0123,SRC|BCL2,128,625|553,0.0012,,GO:0051902,0.19100948885606,0
5,2,0.4,GO Biological Process,,Positive regulation of transcription from RNA polymerase II promoter in response to hypoxia,0.0123,TP53|NOTCH1,128,709|571,0.0012,,GO:0061419,0.19100948885606,0
5,2,0.4,GO Biological Process,,Caveolin-mediated endocytosis,0.0123,MAPK1|CAV1,128,622|685,0.0012,,GO:0072584,0.19100948885606,0
5,2,0.4,GO Biological Process,,Neutrophil clearance,0.0123,AXL|ANXA1,128,670|565,0.0012,,GO:0097350,0.19100948885606,0
5,2,0.4,GO Biological Process,,Response to camptothecin,0.0123,PRKAA1|RAD51,128,343|658,0.0012,,GO:1901563,0.19100948885606,0
5,2,0.4,GO Biological Process,,Apoptotic process involved in blood vessel morphogenesis,0.0123,BAX|BAK1,128,547|520,0.0012,,GO:1902262,0.19100948885606,0
5,2,0.4,GO Biological Process,,Positive regulation of apoptotic process involved in morphogenesis,0.0123,BAX|NOTCH1,128,547|571,0.0012,,GO:1902339,0.19100948885606,0
8,3,0.375,GO Biological Process,,DNA damage induced protein phosphorylation,0.001,ATM|CHEK2|CHEK1,128,475|361|442,0.0000722,,GO:0006975,0.3,0
8,3,0.375,GO Biological Process,,Activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,0.001,BAX|BAK1|DIABLO,128,547|520|508,0.0000722,,GO:0008635,0.3,0
8,3,0.375,GO Biological Process,,Positive regulation of nuclease activity,0.001,PRKCD|HSPA1A|PCNA,128,325|316|376,0.0000722,,GO:0032075,0.3,0
8,3,0.375,GO Biological Process,,Mammary gland involution,0.001,NFKB1|BAX|CAV1,128,601|547|685,0.0000722,,GO:0060056,0.3,0
8,3,0.375,GO Biological Process,,Stress-induced premature senescence,0.001,MAPK14|TP53|CDKN1A,128,634|709|604,0.0000722,,GO:0090400,0.3,0
8,3,0.375,GO Biological Process,,Positive regulation of IRE1-mediated unfolded protein response,0.001,BAX|BAK1|BCL2L11,128,547|520|586,0.0000722,,GO:1903896,0.3,0
8,3,0.375,GO Biological Process,,Negative regulation of telomere capping,0.001,ERCC1|XRCC1|ATM,128,730|769|475,0.0000722,,GO:1904354,0.3,0
14,5,0.357142857142857,GO Biological Process,,"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator",0.00000674,TP53|FOXM1|BRCA2|CHEK2|CDKN1A,128,709|484|751|361|604,0.00000028,,GO:0006978,0.517134010346468,0
21,7,0.333333333333333,GO Biological Process,,Release of cytochrome c from mitochondria,0.0000000515,TP53|BAX|BID|BAK1|BCL2L1|BAD|BCL2,128,709|547|763|520|385|493|553,0.00000000152,,GO:0001836,0.728819277095881,0
12,4,0.333333333333333,GO Biological Process,,Endocardium development,0.00011,KDR|NRG1|SMAD4|NOTCH1,128,460|502|616|571,0.00000589,,GO:0003157,0.395860731484177,0
12,4,0.333333333333333,GO Biological Process,,Anoikis,0.00011,TSC2|PIK3CA|STK11|MTOR,128,562|715|499|352,0.00000589,,GO:0043276,0.395860731484177,0
12,4,0.333333333333333,GO Biological Process,,Post-embryonic animal organ morphogenesis,0.00011,KDR|BAX|BAK1|BCL2L11,128,460|547|520|586,0.00000589,,GO:0048563,0.395860731484177,0
12,4,0.333333333333333,GO Biological Process,,Regulation of nephron tubule epithelial cell differentiation,0.00011,GATA3|WWTR1|YAP1|CTNNB1,128,445|673|523|580,0.00000589,,GO:0072182,0.395860731484177,0
9,3,0.333333333333333,GO Biological Process,,Negative regulation of endoplasmic reticulum calcium ion concentration,0.0013,BAX|TGM2|BAK1,128,547|535|520,0.0000957,,GO:0032471,0.288605664769316,0
9,3,0.333333333333333,GO Biological Process,,Progesterone receptor signaling pathway,0.0013,PGR|SRC|YAP1,128,568|625|523,0.0000957,,GO:0050847,0.288605664769316,0
9,3,0.333333333333333,GO Biological Process,,Epithelial cell proliferation involved in prostate gland development,0.0013,CDKN1B|STK11|CTNNB1,128,583|499|580,0.0000957,,GO:0060767,0.288605664769316,0
9,3,0.333333333333333,GO Biological Process,,Negative regulation of dendritic cell apoptotic process,0.0013,AXL|BCL2L1|BCL2,128,670|385|553,0.0000957,,GO:2000669,0.288605664769316,0
6,2,0.333333333333333,GO Biological Process,,B cell lineage commitment,0.0157,TP53|BCL2,128,709|553,0.0016,,GO:0002326,0.180410034759077,0
6,2,0.333333333333333,GO Biological Process,,Positive regulation of alkaline phosphatase activity,0.0157,ITGA2|SMAD3,128,721|538,0.0016,,GO:0010694,0.180410034759077,0
6,2,0.333333333333333,GO Biological Process,,Mesenchymal cell development,0.0157,BCL2|NOTCH1,128,553|571,0.0016,,GO:0014031,0.180410034759077,0
6,2,0.333333333333333,GO Biological Process,,Mitochondrial DNA repair,0.0157,TP53|PARP1,128,709|409,0.0016,,GO:0043504,0.180410034759077,0
6,2,0.333333333333333,GO Biological Process,,Negative regulation of epithelial cell proliferation involved in prostate gland development,0.0157,CDKN1B|STK11,128,583|499,0.0016,,GO:0060770,0.180410034759077,0
6,2,0.333333333333333,GO Biological Process,,Cardiac vascular smooth muscle cell differentiation,0.0157,GATA6|NOTCH1,128,631|571,0.0016,,GO:0060947,0.180410034759077,0
6,2,0.333333333333333,GO Biological Process,,Regulation of metanephric nephron tubule epithelial cell differentiation,0.0157,WWTR1|YAP1,128,673|523,0.0016,,GO:0072307,0.180410034759077,0
6,2,0.333333333333333,GO Biological Process,,Negative regulation of hydrogen peroxide-mediated programmed cell death,0.0157,MET|PARK7,128,400|340,0.0016,,GO:1901299,0.180410034759077,0
6,2,0.333333333333333,GO Biological Process,,Negative regulation of mitophagy,0.0157,TSC2|TP53,128,562|709,0.0016,,GO:1901525,0.180410034759077,0
6,2,0.333333333333333,GO Biological Process,,Response to glycoside,0.0157,CHEK2|RAD51,128,361|658,0.0016,,GO:1903416,0.180410034759077,0
6,2,0.333333333333333,GO Biological Process,,Negative regulation of guanyl-nucleotide exchange factor activity,0.0157,MET|STMN1,128,400|439,0.0016,,GO:1905098,0.180410034759077,0
6,2,0.333333333333333,GO Biological Process,,Negative regulation of DNA damage checkpoint,0.0157,BRD4|CHEK2,128,517|361,0.0016,,GO:2000002,0.180410034759077,0
6,2,0.333333333333333,GO Biological Process,,Regulation of synaptic vesicle clustering,0.0157,CDH2|PTEN,128,370|373,0.0016,,GO:2000807,0.180410034759077,0
31,10,0.32258064516129,GO Biological Process,,Response to X-ray,2.68E-11,ERCC1|CCND1|MSH2|TP53|ATM|ANXA1|BRCA2|TP53BP1|XRCC5|RAD51,128,730|481|736|709|475|565|751|463|574|658,5.36E-13,,GO:0010165,1.05718652059712,0
19,6,0.31578947368421,GO Biological Process,,Negative regulation of anoikis,0.000000885,PIK3CA|CAV1|SRC|BCL2L1|BCL2|NOTCH1,128,715|685|625|385|553|571,0.000000031,,GO:2000811,0.605305672930218,0
13,4,0.307692307692308,GO Biological Process,,Hepatocyte apoptotic process,0.00014,RB1|BID|ADAR|BCL2L1,128,595|763|646|385,0.00000766,,GO:0097284,0.385387196432176,0
10,3,0.3,GO Biological Process,,Foregut morphogenesis,0.0016,SMAD3|CTNNB1|NOTCH1,128,538|580|571,0.00012,,GO:0007440,0.279588001734407,0
55,16,0.290909090909091,GO Biological Process,,Response to gamma radiation,1.5E-17,TP53|ATM|BAX|PRKAA1|PARP1|BAK1|BCL2L1|GATA3|BRCA2|CHEK2|XRCC5|BCL2|CDKN1A|MYC|YAP1|RAD51,128,709|475|547|343|409|520|385|445|751|361|574|553|604|505|523|658,1.72E-19,,GO:0010332,1.68239087409443,0
14,4,0.285714285714286,GO Biological Process,,Telomere maintenance via recombination,0.00017,ERCC1|XRCC1|BRCA2|RAD51,128,730|769|751|658,0.00000979,,GO:0000722,0.376955107862173,0
14,4,0.285714285714286,GO Biological Process,,interleukin-6-mediated signaling pathway,0.00017,STAT3|SMAD4|SRC|YAP1,128,691|616|625|523,0.00000979,,GO:0070102,0.376955107862173,0
14,4,0.285714285714286,GO Biological Process,,Positive regulation of endoplasmic reticulum unfolded protein response,0.00017,XBP1|BAX|BAK1|BCL2L11,128,739|547|520|586,0.00000979,,GO:1900103,0.376955107862173,0
7,2,0.285714285714286,GO Biological Process,,Myeloid progenitor cell differentiation,0.0195,KIT|BRAF,128,514|694,0.0021,,GO:0002318,0.170996538863748,0
7,2,0.285714285714286,GO Biological Process,,Mitotic nuclear membrane disassembly,0.0195,PRKCA|PRKCB,128,706|337,0.0021,,GO:0007077,0.170996538863748,0
7,2,0.285714285714286,GO Biological Process,,Positive regulation of transcription of Notch receptor target,0.0195,RBM15|NOTCH1,128,589|571,0.0021,,GO:0007221,0.170996538863748,0
7,2,0.285714285714286,GO Biological Process,,Neutrophil differentiation,0.0195,FASN|BAP1,128,472|379,0.0021,,GO:0030223,0.170996538863748,0
7,2,0.285714285714286,GO Biological Process,,Detection of muscle stretch,0.0195,CDH2|CTNNB1,128,370|580,0.0021,,GO:0035995,0.170996538863748,0
7,2,0.285714285714286,GO Biological Process,,Voluntary musculoskeletal movement,0.0195,XRCC1|MTOR,128,769|352,0.0021,,GO:0050882,0.170996538863748,0
7,2,0.285714285714286,GO Biological Process,,Positive regulation of helicase activity,0.0195,MSH2|MSH6,128,736|388,0.0021,,GO:0051096,0.170996538863748,0
7,2,0.285714285714286,GO Biological Process,,Cellular response to nicotine,0.0195,NFKB1|BAD,128,601|493,0.0021,,GO:0071316,0.170996538863748,0
7,2,0.285714285714286,GO Biological Process,,Negative regulation of cardiac muscle hypertrophy in response to stress,0.0195,SMAD3|ERRFI1,128,538|334,0.0021,,GO:1903243,0.170996538863748,0
7,2,0.285714285714286,GO Biological Process,,Positive regulation of DNA catabolic process,0.0195,ATM|BAX,128,475|547,0.0021,,GO:1903626,0.170996538863748,0
7,2,0.285714285714286,GO Biological Process,,Regulation of t-circle formation,0.0195,ERCC1|XRCC5,128,730|574,0.0021,,GO:1904429,0.170996538863748,0
7,2,0.285714285714286,GO Biological Process,,Replication-born double-strand break repair via sister chromatid exchange,0.0195,XRCC1|RAD51,128,769|658,0.0021,,GO:1990414,0.170996538863748,0
29,8,0.275862068965517,GO Biological Process,,Cellular response to gamma radiation,0.0000000127,TP53|ATM|BCL2L1|CHEK2|XRCC5|CDKN1A|YAP1|RAD51,128,709|475|385|361|574|604|523|658,3.48E-10,,GO:0071480,0.789619627904404,0
11,3,0.272727272727273,GO Biological Process,,B cell apoptotic process,0.002,BAX|BAK1|BCL2,128,547|520|553,0.00016,,GO:0001783,0.269897000433602,0
11,3,0.272727272727273,GO Biological Process,,Fibroblast apoptotic process,0.002,CASP7|BAK1|MYC,128,529|520|505,0.00016,,GO:0044346,0.269897000433602,0
11,3,0.272727272727273,GO Biological Process,,Positive regulation of endothelial cell differentiation,0.002,ACVRL1|CTNNB1|NOTCH1,128,712|580|571,0.00016,,GO:0045603,0.269897000433602,0
11,3,0.272727272727273,GO Biological Process,,Epithelial cell differentiation involved in prostate gland development,0.002,AR|CTNNB1|NOTCH1,128,733|580|571,0.00016,,GO:0060742,0.269897000433602,0
11,3,0.272727272727273,GO Biological Process,,Regulation of hydrogen peroxide-mediated programmed cell death,0.002,MET|FOXO3|PARK7,128,400|541|340,0.00016,,GO:1901298,0.269897000433602,0
26,7,0.269230769230769,GO Biological Process,,Response to muscle stretch,0.000000168,NFKB1|MAPK14|PIK3CA|CDH2|JUN|RAF1|CTNNB1,128,601|634|715|370|688|727|580,0.00000000532,,GO:0035994,0.677469071827414,0
26,7,0.269230769230769,GO Biological Process,,Regulation of anoikis,0.000000168,PIK3CA|CAV1|SRC|BCL2L1|CHEK2|BCL2|NOTCH1,128,715|685|625|385|361|553|571,0.00000000532,,GO:2000209,0.677469071827414,0
15,4,0.266666666666667,GO Biological Process,,Response to leucine,0.00021,RPS6KB1|PIK3CA|RPTOR|MTOR,128,421|715|676|352,0.0000123,,GO:0043201,0.367778070526608,0
15,4,0.266666666666667,GO Biological Process,,Regulation of IRE1-mediated unfolded protein response,0.00021,BAX|COPS5|BAK1|BCL2L11,128,547|364|520|586,0.0000123,,GO:1903894,0.367778070526608,0
19,5,0.263157894736842,GO Biological Process,,Post-embryonic animal organ development,0.0000214,ERCC1|KDR|BAX|BAK1|BCL2L11,128,730|460|547|520|586,0.000000993,,GO:0048569,0.466958622665081,0
23,6,0.260869565217391,GO Biological Process,,Positive regulation of cardiac muscle cell proliferation,0.00000215,MAPK14|GATA6|NRG1|CDK1|YAP1|NOTCH1,128,634|631|502|637|523|571,0.000000081,,GO:0060045,0.566756154008439,0
23,6,0.260869565217391,GO Biological Process,,Positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus,0.00000215,XBP1|TP53|SMAD1|SMAD4|JUN|NOTCH1,128,739|709|700|616|688|571,0.000000081,,GO:1901522,0.566756154008439,0
36,9,0.25,GO Biological Process,,Extrinsic apoptotic signaling pathway in absence of ligand,0.00000000232,ERBB3|BAX|CTNNA1|FOXO3|BAK1|BCL2L1|BCL2L11|BAD|BCL2,128,487|547|754|541|520|385|586|493|553,5.61E-11,,GO:0097192,0.86345120151091,0
20,5,0.25,GO Biological Process,,Mitotic recombination,0.0000261,ERCC1|MSH2|XRCC1|BRCA2|RAD51,128,730|736|769|751|658,0.00000123,,GO:0006312,0.458335949266172,0
20,5,0.25,GO Biological Process,,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",0.0000261,CDKN1B|TP53|ATM|CHEK2|CDKN1A,128,583|709|475|361|604,0.00000123,,GO:0006977,0.458335949266172,0
16,4,0.25,GO Biological Process,,Regulation of mammary gland epithelial cell proliferation,0.00026,CCND1|BAX|GATA3|BRCA2,128,481|547|445|751,0.0000153,,GO:0033599,0.358502665202918,0
16,4,0.25,GO Biological Process,,Negative regulation of glial cell proliferation,0.00026,RB1|TP53|NF2|NOTCH1,128,595|709|613|571,0.0000153,,GO:0060253,0.358502665202918,0
12,3,0.25,GO Biological Process,,Lymphoid progenitor cell differentiation,0.0024,KIT|GATA3|BCL2,128,514|445|553,0.00019,,GO:0002320,0.261978875828839,0
12,3,0.25,GO Biological Process,,Epithelial to mesenchymal transition involved in endocardial cushion formation,0.0024,SNAI1|SMAD4|NOTCH1,128,655|616|571,0.00019,,GO:0003198,0.261978875828839,0
12,3,0.25,GO Biological Process,,Negative regulation of protein autophosphorylation,0.0024,CAV1|JUN|ERRFI1,128,685|688|334,0.00019,,GO:0031953,0.261978875828839,0
12,3,0.25,GO Biological Process,,Positive regulation of intracellular estrogen receptor signaling pathway,0.0024,PARP1|AR|YAP1,128,409|733|523,0.00019,,GO:0033148,0.261978875828839,0
12,3,0.25,GO Biological Process,,Negative regulation of osteoblast proliferation,0.0024,SMAD3|NF2|BCL2,128,538|613|553,0.00019,,GO:0033689,0.261978875828839,0
12,3,0.25,GO Biological Process,,Regulation of helicase activity,0.0024,MSH2|MSH6|TP53,128,736|388|709,0.00019,,GO:0051095,0.261978875828839,0
12,3,0.25,GO Biological Process,,Prostate gland growth,0.0024,PTEN|AR|ESR1,128,373|733|760,0.00019,,GO:0060736,0.261978875828839,0
12,3,0.25,GO Biological Process,,Regulation of transcription from RNA polymerase II promoter in response to hypoxia,0.0024,VHL|TP53|NOTCH1,128,394|709|571,0.00019,,GO:0061418,0.261978875828839,0
12,3,0.25,GO Biological Process,,Cellular response to X-ray,0.0024,ATM|TP53BP1|XRCC5,128,475|463|574,0.00019,,GO:0071481,0.261978875828839,0
12,3,0.25,GO Biological Process,,Positive regulation of miRNA maturation,0.0024,TP53|EGFR|MAP2K1,128,709|406|559,0.00019,,GO:1903800,0.261978875828839,0
8,2,0.25,GO Biological Process,,Atrioventricular node development,0.0234,GATA6|NOTCH1,128,631|571,0.0026,,GO:0003162,0.163078414258986,0
8,2,0.25,GO Biological Process,,Atrioventricular valve formation,0.0234,SMAD4|NOTCH1,128,616|571,0.0026,,GO:0003190,0.163078414258986,0
8,2,0.25,GO Biological Process,,Signal complex assembly,0.0234,PXN|SRC,128,757|625,0.0026,,GO:0007172,0.163078414258986,0
8,2,0.25,GO Biological Process,,Positive regulation of mitochondrial depolarization,0.0234,KDR|PARP1,128,460|409,0.0026,,GO:0051901,0.163078414258986,0
8,2,0.25,GO Biological Process,,Regulation of cell adhesion molecule production,0.0234,CAV1|NOTCH1,128,685|571,0.0026,,GO:0060353,0.163078414258986,0
8,2,0.25,GO Biological Process,,Cellular response to UV-B,0.0234,STK11|CDKN1A,128,499|604,0.0026,,GO:0071493,0.163078414258986,0
8,2,0.25,GO Biological Process,,Positive regulation of ER-associated ubiquitin-dependent protein catabolic process,0.0234,XBP1|CAV1,128,739|685,0.0026,,GO:1903071,0.163078414258986,0
8,2,0.25,GO Biological Process,,"Regulation of wound healing, spreading of epidermal cells",0.0234,MTOR|PTEN,128,352|373,0.0026,,GO:1903689,0.163078414258986,0
8,2,0.25,GO Biological Process,,Positive regulation of histone H3-K9 acetylation,0.0234,SMAD4|GATA3,128,616|445,0.0026,,GO:2000617,0.163078414258986,0
29,7,0.241379310344828,GO Biological Process,,T cell apoptotic process,0.000000308,TP53|BAX|BAK1|RPS6|CHEK2|BCL2L11|BCL2,128,709|547|520|682|361|586|553,0.0000000102,,GO:0070231,0.651144928349956,0
17,4,0.235294117647059,GO Biological Process,,Response to UV-B,0.0003,MSH2|STK11|BCL2|CDKN1A,128,736|499|553|604,0.0000188,,GO:0010224,0.352287874528034,0
13,3,0.230769230769231,GO Biological Process,,Somatic diversification of immune receptors via somatic mutation,0.0029,MSH2|MSH6|ADAR,128,736|388|646,0.00024,,GO:0002566,0.253760200210104,0
13,3,0.230769230769231,GO Biological Process,,Positive regulation of cardiac muscle cell apoptotic process,0.0029,GATA6|TP53|SMAD4,128,631|709|616,0.00024,,GO:0010666,0.253760200210104,0
13,3,0.230769230769231,GO Biological Process,,Neurotrophin TRK receptor signaling pathway,0.0029,SRC|AKT1S1|RAF1,128,625|469|727,0.00024,,GO:0048011,0.253760200210104,0
13,3,0.230769230769231,GO Biological Process,,Negative regulation of transforming growth factor beta production,0.0029,CDH3|GATA6|FN1,128,697|631|703,0.00024,,GO:0071635,0.253760200210104,0
13,3,0.230769230769231,GO Biological Process,,Regulation of histone H3-K9 acetylation,0.0029,SMAD4|GATA3|CHEK1,128,616|445|442,0.00024,,GO:2000615,0.253760200210104,0
27,6,0.222222222222222,GO Biological Process,,Positive regulation of release of cytochrome c from mitochondria,0.00000459,TP53|BAX|BID|BAK1|BCL2L11|BAD,128,709|547|763|520|586|493,0.000000184,,GO:0090200,0.533818731446274,0
18,4,0.222222222222222,GO Biological Process,,Peptidyl-tyrosine autophosphorylation,0.00036,KDR|EGFR|SRC|LCK,128,460|406|625|511,0.0000228,,GO:0038083,0.344369749923271,0
18,4,0.222222222222222,GO Biological Process,,ERBB2 signaling pathway,0.00036,ERBB3|EGFR|NRG1|SRC,128,487|406|502|625,0.0000228,,GO:0038128,0.344369749923271,0
